Age,M,F
0-4,1071802,1011449
5-9,1242410,1176316
10-14,1586544,1508533
15-19,1705719,1628826
20-24,1667035,1601172
25-29,1627016,1581420
30-34,1501496,1480395
35-39,1282129,1277578
40-44,1202221,1211478
45-49,1105224,1118874
50-54,975117,1018214
55-59,1059863,1161924
60-64,1007178,1103458
65-69,825280,980618
70-74,559252,762813
75-79,408582,640107
80-84,256875,446929
85-89,115451,244901
90-94,32097,81255
95-99,4644,13314
100+,400,1134
