Age,M,F
0-4,969724,914161
5-9,1025309,967425
10-14,1177480,1112396
15-19,1476025,1400538
20-24,1713178,1634991
25-29,1698250,1634493
30-34,1650787,1608818
35-39,1580749,1561851
40-44,1387556,1386243
45-49,1221514,1234653
50-54,1138647,1165659
55-59,986786,1035959
60-64,947398,1059969
65-69,957091,1117020
70-74,758420,943051
75-79,495910,728255
80-84,278137,498323
85-89,152894,317154
90-94,51524,123462
95-99,9482,27707
100+,717,2017
