Age,M,F
0-4,940525,884364
5-9,1028968,967863
10-14,1112245,1046059
15-19,1264550,1193656
20-24,1197376,1136163
25-29,1108255,1060400
30-34,1167325,1141315
35-39,1261629,1255262
40-44,1542664,1534027
45-49,1950615,1909864
50-54,1979718,1925633
55-59,1815777,1803977
60-64,1668446,1724995
65-69,1411031,1528839
70-74,1095793,1259174
75-79,900504,1123980
80-84,628632,877239
85-89,352962,594955
90-94,169380,362959
95-99,40192,107112
100+,4501,15689
