Age,M,F
0-4,1352955,1290354
5-9,1310917,1253678
10-14,1200914,1154334
15-19,1225033,1227513
20-24,1330519,1362553
25-29,1230189,1260528
30-34,1012211,1107574
35-39,847038,985160
40-44,866951,973245
45-49,816984,892885
50-54,705315,802013
55-59,560251,652815
60-64,466552,576215
65-69,371998,480991
70-74,254312,355758
75-79,153825,235189
80+,111622,213399
