Age,M,F
0-4,1314570,1233622
5-9,1639160,1544793
10-14,1708576,1619520
15-19,1678699,1597757
20-24,1653428,1594626
25-29,1498722,1469316
30-34,1268423,1256885
35-39,1208548,1208727
40-44,1107051,1109508
45-49,1008477,1042536
50-54,1132782,1209598
55-59,1059872,1115247
60-64,880295,1000902
65-69,627917,802779
70-74,531403,743771
75-79,378020,565922
80+,308943,613935
