Age,M,F
0-4,1264025,1189243
5-9,1142174,1077370
10-14,1060765,1002796
15-19,1148251,1084210
20-24,1325196,1252764
25-29,1711231,1616490
30-34,2104122,1967660
35-39,2082885,1942582
40-44,1928597,1836108
45-49,1796832,1762044
50-54,1548371,1557810
55-59,1282698,1328063
60-64,1163592,1247920
65-69,971647,1087114
70-74,814299,997000
75-79,745273,1015792
80-84,486049,742968
85-89,232311,447896
90-94,72339,177596
95-99,19496,54110
100+,2001,5500
