Age,M,F
0-4,896487,843646
5-9,926686,872744
10-14,970449,914805
15-19,1012995,958216
20-24,1034070,984811
25-29,1036021,994522
30-34,1043980,1008279
35-39,1084077,1050072
40-44,1168204,1132082
45-49,1246837,1207675
50-54,1376980,1334722
55-59,1359077,1323811
60-64,1192825,1174026
65-69,1126343,1141524
70-74,1114376,1182715
75-79,1165885,1306422
80-84,1258301,1513360
85-89,1033482,1393273
90-94,567918,935348
95-99,195022,452701
100+,34844,129618
