Age,M,F
0-4,959076,901937
5-9,1039108,977182
10-14,1143154,1075601
15-19,1267007,1196562
20-24,1171511,1111897
25-29,1104482,1059677
30-34,1178414,1156533
35-39,1299664,1294722
40-44,1625758,1611677
45-49,1992354,1944609
50-54,1960868,1908193
55-59,1793456,1789890
60-64,1638673,1702155
65-69,1363138,1482521
70-74,1068010,1233621
75-79,879916,1101832
80-84,604696,848099
85-89,346999,588158
90-94,174484,365327
95-99,41214,105656
100+,4110,14421
