Age,M,F
0-4,981539,923228
5-9,976721,919472
10-14,944811,890316
15-19,937828,887363
20-24,993532,947279
25-29,1109597,1064904
30-34,1214408,1168435
35-39,1381662,1329853
40-44,1333979,1285476
45-49,1196607,1156498
50-54,1193978,1175214
55-59,1232428,1242764
60-64,1416160,1451350
65-69,1744688,1800493
70-74,1740194,1835730
75-79,1471215,1654099
80-84,1144629,1441806
85-89,717876,1063263
90-94,318655,586303
95-99,91428,232858
100+,14019,51552
