Age,M,F
0-4,912523,858495
5-9,911237,857897
10-14,907501,855101
15-19,923018,872515
20-24,969788,922164
25-29,1039592,994521
30-34,1099468,1056382
35-39,1116873,1076755
40-44,1100050,1064002
45-49,1085934,1053586
50-54,1105675,1075706
55-59,1169783,1142043
60-64,1226610,1204532
65-69,1324723,1316765
70-74,1268087,1288876
75-79,1055257,1115926
80-84,894037,1026631
85-89,719382,945935
90-94,505704,813636
95-99,268194,581885
100+,70445,248489
