Age,M,F
0-4,894996,841552
5-9,917551,863283
10-14,925304,871208
15-19,927027,875271
20-24,939426,891817
25-29,971839,928115
30-34,1021856,980037
35-39,1082184,1040440
40-44,1128963,1087350
45-49,1134541,1095448
50-54,1107500,1073531
55-59,1083673,1056188
60-64,1092329,1072376
65-69,1140238,1131662
70-74,1171279,1183248
75-79,1214574,1269655
80-84,1075271,1194262
85-89,763163,946514
90-94,476135,718596
95-99,227628,474592
100+,72959,262182
