Age,M,F
0-4,902812,849405
5-9,901681,848955
10-14,911032,858537
15-19,945708,894158
20-24,1009052,959794
25-29,1072217,1026297
30-34,1097078,1055501
35-39,1087340,1050494
40-44,1079245,1045924
45-49,1104594,1072510
50-54,1175011,1142590
55-59,1239604,1208624
60-64,1350967,1326248
65-69,1312292,1306418
70-74,1123101,1146451
75-79,1010516,1089490
80-84,911838,1074966
85-89,789559,1062795
90-94,598957,972894
95-99,278137,603257
100+,56940,204054
