Age,M,F
0-4,998236,940128
5-9,1060699,1001190
10-14,1265101,1199335
15-19,1600917,1524060
20-24,1707322,1634850
25-29,1662224,1606687
30-34,1627194,1593953
35-39,1506371,1495042
40-44,1289272,1291977
45-49,1202422,1219510
50-54,1087175,1113200
55-59,948982,1008968
60-64,1011173,1142491
65-69,926584,1065564
70-74,713595,912503
75-79,443015,668455
80-84,282143,507671
85-89,141301,291649
90-94,45232,112858
95-99,7089,20417
100+,609,1717
