Age,M,F
0-4,1643409,1564560
5-9,1552667,1488398
10-14,1359105,1312148
15-19,1320046,1277890
20-24,1201250,1173292
25-29,1088954,1096754
30-34,1220248,1265093
35-39,1154011,1178445
40-44,1015310,1082796
45-49,800427,909931
50-54,796473,919266
55-59,742027,827636
60-64,635105,765387
65-69,462070,586049
70-74,326166,460817
75-79,209807,322590
80+,147398,286698
