Age,M,F
0-4,869021,817259
5-9,893828,840934
10-14,916007,862327
15-19,933706,881142
20-24,949247,900276
25-29,964433,919841
30-34,987279,945704
35-39,1023324,982948
40-44,1072709,1032097
45-49,1121986,1081203
50-54,1140307,1101819
55-59,1116540,1084340
60-64,1080418,1057581
65-69,1064805,1054320
70-74,1080871,1089368
75-79,1097832,1140093
80-84,1055416,1159939
85-89,921644,1121496
90-94,555822,811095
95-99,241892,477257
100+,75601,261793
