Age,M,F
0-4,1669611,1581564
5-9,1674452,1596244
10-14,1617296,1548908
15-19,1420647,1376414
20-24,1299846,1273322
25-29,1202744,1181744
30-34,1041443,1056214
35-39,1111455,1170757
40-44,1169719,1203366
45-49,1060428,1105172
50-54,839646,939525
55-59,738986,876311
60-64,695334,820047
65-69,577910,728136
70-74,401528,555327
75-79,238084,367020
80+,192764,369061
