Age,M,F
0-4,1718065,1621623
5-9,1680992,1590668
10-14,1684797,1605644
15-19,1614590,1555074
20-24,1392702,1359958
25-29,1264653,1249566
30-34,1184400,1170193
35-39,1043472,1053602
40-44,1112607,1167710
45-49,1159912,1195594
50-54,1037334,1089888
55-59,805101,918546
60-64,686662,845075
65-69,616487,771236
70-74,471321,644765
75-79,288884,447649
80+,217041,421541
