Age,M,F
0-4,1390704,1324469
5-9,1333102,1278961
10-14,1247176,1196215
15-19,1168896,1144873
20-24,1306897,1341550
25-29,1248604,1269663
30-34,1096750,1166215
35-39,852919,975597
40-44,857507,984250
45-49,824836,894364
50-54,744224,845037
55-59,591394,682836
60-64,478177,592102
65-69,388205,500415
70-74,266731,372668
75-79,160431,245465
80+,110565,218598
