Age,M,F
0-4,912038,857635
5-9,917415,863125
10-14,910330,856965
15-19,915640,864489
20-24,951435,903984
25-29,1013272,968773
30-34,1081419,1038156
35-39,1122460,1080523
40-44,1118250,1079493
45-49,1094400,1059870
50-54,1088109,1057388
55-59,1121985,1094634
60-64,1190060,1168128
65-69,1238875,1229088
70-74,1315106,1331314
75-79,1143455,1201726
80-84,910984,1025627
85-89,723793,934343
90-94,473073,760412
95-99,238680,529053
100+,75908,268302
