Age,M,F
0-4,891790,838652
5-9,911298,857526
10-14,944884,889661
15-19,995072,939950
20-24,1041314,990444
25-29,1056980,1013132
30-34,1054603,1016994
35-39,1067357,1033021
40-44,1119409,1084634
45-49,1207955,1170377
50-54,1282930,1243471
55-59,1402322,1363805
60-64,1281594,1258384
65-69,1126767,1127385
70-74,1098591,1148333
75-79,1070719,1189309
80-84,1107036,1327725
85-89,1033892,1395797
90-94,603302,1001272
95-99,208756,485133
100+,41153,151813
