Age,M,F
0-4,979780,923548
5-9,1010279,954845
10-14,1097657,1034623
15-19,1316962,1243204
20-24,1670169,1583769
25-29,1786572,1701462
30-34,1733792,1667538
35-39,1687820,1649417
40-44,1554275,1541460
45-49,1318926,1324108
50-54,1210167,1237213
55-59,1076477,1119801
60-64,921829,1004914
65-69,949111,1116912
70-74,825316,1011607
75-79,578016,814261
80-84,312632,538487
85-89,157356,334743
90-94,57007,140545
95-99,10364,29982
100+,933,2639
