Age,M,F
0-4,1110088,1046458
5-9,1381384,1306690
10-14,1672744,1589122
15-19,1704133,1626144
20-24,1656715,1591440
25-29,1601393,1559488
30-34,1427302,1409869
35-39,1230772,1228328
40-44,1179490,1187409
45-49,1062056,1077842
50-54,994239,1051492
55-59,1094868,1191525
60-64,975815,1066692
65-69,764415,929646
70-74,521822,729833
75-79,405644,629162
80+,378918,727168
