Age,M,F
0-4,858879,807661
5-9,878370,826361
10-14,902094,849208
15-19,927856,875493
20-24,951971,902272
25-29,969643,923778
30-34,983217,940732
35-39,1004161,963620
40-44,1039316,999319
45-49,1087437,1047231
50-54,1129780,1090425
55-59,1135705,1100802
60-64,1102918,1077060
65-69,1063284,1050535
70-74,1044045,1050229
75-79,1045125,1083240
80-84,1008718,1102568
85-89,888733,1076400
90-94,633418,903796
95-99,277953,534244
100+,82536,274781
