Age,M,F
0-4,894436,841803
5-9,920775,867190
10-14,962259,907111
15-19,1009186,954665
20-24,1038787,989223
25-29,1043297,1001244
30-34,1046122,1010126
35-39,1076453,1042765
40-44,1150277,1115068
45-49,1234963,1196752
50-54,1343394,1302653
55-59,1384652,1348436
60-64,1221399,1201606
65-69,1119003,1129343
70-74,1108061,1170932
75-79,1126093,1260664
80-84,1200096,1446176
85-89,1041676,1403192
90-94,582725,955400
95-99,203790,464081
100+,36949,137093
