Age,M,F
0-4,910859,856297
5-9,998815,939884
10-14,1073145,1009733
15-19,1225877,1157370
20-24,1253432,1189618
25-29,1142983,1090765
30-34,1143377,1109264
35-39,1214551,1202917
40-44,1405617,1403331
45-49,1807846,1783993
50-54,1997812,1950033
55-59,1869872,1846417
60-64,1708772,1752539
65-69,1493281,1608336
70-74,1169981,1335667
75-79,917306,1139327
80-84,664614,919070
85-89,376790,612375
90-94,175282,358823
95-99,51121,132882
100+,5314,18277
