Age,M,F
0-4,926799,871680
5-9,914745,861077
10-14,944500,889765
15-19,1034288,977774
20-24,1135908,1079672
25-29,1319660,1261086
30-34,1292773,1240010
35-39,1174013,1129928
40-44,1189746,1164056
45-49,1248145,1244810
50-54,1462144,1468533
55-59,1846944,1841579
60-64,1909192,1906888
65-69,1719409,1773909
70-74,1516526,1665157
75-79,1212237,1444834
80-84,821622,1092841
85-89,506037,792215
90-94,227660,436020
95-99,57167,148875
100+,9192,33392
