Age,M,F
0-4,1017776,958656
5-9,1118518,1057665
10-14,1383157,1314055
15-19,1677616,1599958
20-24,1694704,1626534
25-29,1641886,1591821
30-34,1589433,1562032
35-39,1421886,1414813
40-44,1230847,1236477
45-49,1171220,1188355
50-54,1038702,1067948
55-59,963268,1039837
60-64,1038409,1167913
65-69,890671,1025000
70-74,658545,863371
75-79,410227,637073
80-84,278526,497391
85-89,130957,267892
90-94,40014,102341
95-99,6586,17683
100+,516,1461
