Age,M,F
0-4,1029291,968446
5-9,1189320,1120704
10-14,1242334,1172905
15-19,1126464,1066362
20-24,1089227,1045660
25-29,1170502,1151350
30-34,1333065,1328111
35-39,1714221,1691672
40-44,2019668,1960694
45-49,1953849,1894128
50-54,1810888,1796595
55-59,1656543,1696451
60-64,1378742,1460844
65-69,1138981,1263550
70-74,979145,1150228
75-79,737289,944375
80-84,535257,801142
85-89,350833,615649
90-94,133630,281427
95-99,27562,78447
100+,2481,8851
