Age,M,F
0-4,905366,851352
5-9,963106,906140
10-14,1047827,986165
15-19,1152631,1087348
20-24,1288855,1223029
25-29,1198416,1143618
30-34,1127334,1085941
35-39,1193745,1174179
40-44,1306983,1304345
45-49,1622396,1613168
50-54,1973497,1937097
55-59,1925640,1893275
60-64,1740755,1767808
65-69,1564778,1670316
70-74,1267616,1437056
75-79,944086,1161300
80-84,706712,972249
85-89,404445,650959
90-94,171881,348542
95-99,56466,146509
100+,6180,21150
