Age,M,F
0-4,910876,857086
5-9,956170,900343
10-14,994869,937670
15-19,1010275,955729
20-24,1007306,960011
25-29,1014100,974473
30-34,1053297,1017580
35-39,1135774,1099197
40-44,1228200,1188155
45-49,1344692,1300032
50-54,1394475,1350663
55-59,1238817,1207304
60-64,1147187,1139705
65-69,1155940,1190853
70-74,1214938,1303799
75-79,1391561,1558253
80-84,1375062,1643736
85-89,966058,1317685
90-94,504352,857983
95-99,174598,408746
100+,26969,101196
