Age,M,F
0-4,913165,859238
5-9,913478,860060
10-14,908515,856127
15-19,920772,870462
20-24,963629,916383
25-29,1030815,986165
30-34,1094631,1051675
35-39,1120460,1079933
40-44,1106495,1069859
45-49,1087656,1055012
50-54,1098061,1068352
55-59,1152424,1125355
60-64,1215652,1194125
65-69,1293795,1285981
70-74,1293954,1313920
75-79,1082699,1143509
80-84,890938,1017840
85-89,718017,939402
90-94,490159,787284
95-99,262819,563177
100+,72805,256752
