Age,M,F
0-4,862973,811479
5-9,886027,833589
10-14,909673,856314
15-19,931470,878850
20-24,951249,901795
25-29,966607,921404
30-34,984093,942129
35-39,1012246,971880
40-44,1054896,1014629
45-49,1106249,1065639
50-54,1138621,1099441
55-59,1127634,1093950
60-64,1090134,1065823
65-69,1060418,1048890
70-74,1058479,1065742
75-79,1073320,1113519
80-84,1026471,1123066
85-89,922604,1119366
90-94,595656,859673
95-99,253618,498383
100+,78804,267611
