Age,M,F
0-4,1659113,1572877
5-9,1670098,1593434
10-14,1591926,1524877
15-19,1382441,1341580
20-24,1297934,1269999
25-29,1174221,1155565
30-34,1021350,1048316
35-39,1149198,1212414
40-44,1153542,1178232
45-49,1031971,1088856
50-54,801297,907492
55-59,750590,887486
60-64,690196,804388
65-69,568868,725053
70-74,385725,529771
75-79,233098,361267
80+,185742,356674
