Age,M,F
0-4,1031124,969840
5-9,1147076,1079469
10-14,1256483,1184971
15-19,1153484,1090787
20-24,1082798,1034653
25-29,1160198,1135978
30-34,1287640,1281086
35-39,1621513,1605160
40-44,1999382,1945853
45-49,1981172,1916706
50-54,1828647,1805085
55-59,1691885,1724908
60-64,1432300,1512695
65-69,1155424,1276215
70-74,1003039,1175656
75-79,763577,971519
80-84,532677,786796
85-89,358241,632100
90-94,137252,289368
95-99,29735,82580
100+,2633,9423
