Age,M,F
0-4,1023170,961999
5-9,1109382,1042919
10-14,1257005,1184327
15-19,1179576,1114318
20-24,1085798,1033647
25-29,1148689,1119539
30-34,1249692,1241001
35-39,1538678,1527201
40-44,1958484,1911250
45-49,2001335,1934682
50-54,1851992,1819584
55-59,1723007,1748251
60-64,1482318,1559774
65-69,1183354,1301023
70-74,1023751,1196446
75-79,790671,1000086
80-84,540837,788692
85-89,359779,639508
90-94,139367,299013
95-99,28987,81439
100+,2833,10138
