Age,M,F
0-4,1055777,996279
5-9,1190683,1127234
10-14,1523982,1448927
15-19,1702487,1625604
20-24,1675606,1609619
25-29,1633963,1587138
30-34,1534992,1512104
35-39,1324559,1319445
40-44,1209113,1217813
45-49,1127193,1141977
50-54,988165,1025692
55-59,1026492,1123384
60-64,1021378,1128817
65-69,848079,995791
70-74,588852,792119
75-79,405869,636549
80-84,264838,462987
85-89,122354,252350
90-94,36234,91661
95-99,5240,14385
100+,436,1235
