Age,M,F
0-4,1250137,1175397
5-9,1102896,1040317
10-14,1064859,1006076
15-19,1160676,1095038
20-24,1364977,1289788
25-29,1777296,1675865
30-34,2091522,1954865
35-39,2033503,1902886
40-44,1896664,1815146
45-49,1751883,1723609
50-54,1487519,1498806
55-59,1262958,1310531
60-64,1136263,1218047
65-69,941228,1056442
70-74,828845,1024299
75-79,733220,995098
80-84,466081,718538
85-89,218511,423648
90-94,70721,174107
95-99,19169,52647
100+,1854,5084
