Age,M,F
0-4,1052199,989835
5-9,1246962,1176177
10-14,1197659,1131442
15-19,1083187,1027017
20-24,1118215,1083093
25-29,1204491,1192639
30-34,1453947,1446416
35-39,1893506,1853793
40-44,2020226,1951206
45-49,1896809,1848115
50-54,1781468,1781921
55-59,1577900,1625337
60-64,1281937,1364021
65-69,1123719,1252410
70-74,929846,1095078
75-79,697981,908911
80-84,558693,852616
85-89,322857,570569
90-94,117581,260236
95-99,21280,63023
100+,2295,7991
