Age,M,F
0-4,1634296,1556910
5-9,1456150,1397859
10-14,1340643,1292629
15-19,1296908,1253671
20-24,1162594,1138569
25-29,1155563,1171689
30-34,1230751,1265941
35-39,1114180,1151410
40-44,928563,1016094
45-49,790339,911381
50-54,796868,900413
55-59,724764,816392
60-64,592562,716263
65-69,432108,555531
70-74,313840,443567
75-79,199323,302968
80+,144695,274095
