Age,M,F
0-4,1699133,1607945
5-9,1671632,1589503
10-14,1656787,1585062
15-19,1511425,1459047
20-24,1306583,1280635
25-29,1245979,1227043
30-34,1107562,1100941
35-39,1038171,1079046
40-44,1183257,1238346
45-49,1106323,1130725
50-54,933696,1017347
55-59,728844,858471
60-64,703439,851233
65-69,594982,733108
70-74,435102,609034
75-79,251110,385564
80+,197409,384907
