Age,M,F
0-4,1625413,1548981
5-9,1410297,1354843
10-14,1342915,1293427
15-19,1280518,1237800
20-24,1145826,1122856
25-29,1201524,1223757
30-34,1214318,1243542
35-39,1091405,1139843
40-44,880333,976974
45-49,801421,925701
50-54,791138,880686
55-59,714515,814632
60-64,568687,685034
65-69,422099,548835
70-74,309888,435343
75-79,192067,291762
80+,140381,265629
