Age,M,F
0-4,965164,907779
5-9,937615,882650
10-14,922100,868861
15-19,960112,908147
20-24,1067511,1016762
25-29,1177748,1127638
30-34,1355884,1301605
35-39,1318353,1268090
40-44,1189657,1147284
45-49,1195954,1172770
50-54,1244618,1246290
55-59,1444801,1462425
60-64,1804924,1824809
65-69,1839726,1878804
70-74,1619410,1729780
75-79,1367537,1585578
80-84,1003486,1303292
85-89,578718,879592
90-94,269573,510667
95-99,74646,190250
100+,10565,38832
