Age,M,F
0-4,1228549,1154070
5-9,1598750,1507702
10-14,1709225,1620797
15-19,1683797,1602914
20-24,1661176,1599736
25-29,1534540,1501810
30-34,1300507,1287406
35-39,1217745,1218285
40-44,1128236,1130494
45-49,1004942,1033138
50-54,1107857,1186090
55-59,1074686,1135951
60-64,910911,1025064
65-69,651512,823152
70-74,528188,742419
75-79,386160,579570
80+,331758,647222
