Age,M,F
0-4,972503,914864
5-9,990833,932678
10-14,968457,912518
15-19,947600,896658
20-24,974305,929398
25-29,1060148,1018452
30-34,1176087,1133317
35-39,1289235,1242481
40-44,1405600,1354473
45-49,1280256,1236149
50-54,1172275,1141583
55-59,1200494,1198247
60-64,1268876,1299607
65-69,1509626,1571599
70-74,1739538,1841608
75-79,1555873,1727930
80-84,1196648,1477373
85-89,792647,1153045
90-94,368143,670855
95-99,104529,256819
100+,16628,61839
