Age,M,F
0-4,897783,844275
5-9,900796,847597
10-14,915984,862433
15-19,956799,903699
20-24,1022749,972367
25-29,1076095,1030039
30-34,1086688,1045852
35-39,1075735,1039618
40-44,1080742,1047201
45-49,1126037,1092385
50-54,1207985,1173011
55-59,1275572,1241871
60-64,1384841,1357797
65-69,1254317,1248406
70-74,1085754,1111177
75-79,1027465,1115615
80-84,941400,1117517
85-89,855312,1155872
90-94,631698,1039965
95-99,249556,563135
100+,51761,187479
