Age,M,F
0-4,985402,926901
5-9,1046606,983953
10-14,1180610,1111413
15-19,1255504,1186111
20-24,1144250,1086086
25-29,1110115,1068801
30-34,1188367,1170562
35-39,1345173,1340809
40-44,1718709,1697381
45-49,2013376,1958968
50-54,1934683,1885468
55-59,1776413,1781085
60-64,1604483,1673581
65-69,1311821,1431067
70-74,1051336,1219858
75-79,856928,1075610
80-84,582537,822060
85-89,347867,594481
90-94,173756,358730
95-99,38719,99966
100+,3737,13195
