Age,M,F
0-4,981804,923310
5-9,968985,911862
10-14,936216,881681
15-19,935693,884677
20-24,1003137,956000
25-29,1125028,1079186
30-34,1236008,1188415
35-39,1392095,1339142
40-44,1303604,1255765
45-49,1180538,1142340
50-54,1202610,1187472
55-59,1257949,1270575
60-64,1482974,1516400
65-69,1798934,1849404
70-74,1728294,1821562
75-79,1449719,1636801
80-84,1130022,1430849
85-89,692409,1036829
90-94,295786,559275
95-99,87202,224549
100+,13223,48503
