Age,M,F
0-4,1082463,1021093
5-9,1305233,1235621
10-14,1637600,1556888
15-19,1708952,1631383
20-24,1661749,1595618
25-29,1615034,1570533
30-34,1464855,1445083
35-39,1250722,1246721
40-44,1192177,1200857
45-49,1084930,1098554
50-54,977919,1027232
55-59,1083591,1184751
60-64,994608,1084680
65-69,800209,960937
70-74,538733,744897
75-79,408879,639480
80-84,249091,434623
85-89,106990,235028
90-94,26979,69479
95-99,4185,12290
100+,366,1042
