Age,M,F
0-4,944019,888159
5-9,988900,931037
10-14,995002,937729
15-19,977189,924729
20-24,976087,931024
25-29,1019534,980062
30-34,1111495,1072812
35-39,1213181,1171685
40-44,1338352,1291520
45-49,1396499,1348396
50-54,1248131,1209343
55-59,1165227,1145833
60-64,1187424,1202994
65-69,1271848,1328177
70-74,1512209,1618105
75-79,1604713,1779223
80-84,1296218,1563123
85-89,858929,1213091
90-94,442049,776726
95-99,133214,321659
100+,19996,75153
