Age,M,F
0-4,901757,847943
5-9,919353,864905
10-14,921227,867118
15-19,920027,868376
20-24,938187,890855
25-29,979781,936195
30-34,1037494,995399
35-39,1098652,1056568
40-44,1133403,1092077
45-49,1123912,1085940
50-54,1095388,1062529
55-59,1084261,1057115
60-64,1112101,1091612
65-69,1170880,1161309
70-74,1203289,1215328
75-79,1246227,1301323
80-84,1029066,1143793
85-89,734535,917950
90-94,475575,736085
95-99,219246,473136
100+,74281,266548
