Age,M,F
0-4,942893,886898
5-9,919360,865431
10-14,929651,875998
15-19,1001395,947250
20-24,1109796,1055959
25-29,1260547,1205354
30-34,1348567,1293677
35-39,1226540,1179525
40-44,1169314,1135764
45-49,1221432,1210929
50-54,1349470,1357202
55-59,1679819,1687544
60-64,1916118,1921253
65-69,1779017,1822920
70-74,1550144,1683914
75-79,1282846,1514230
80-84,892458,1177020
85-89,519672,804691
90-94,251085,472785
95-99,67474,168078
100+,9563,35036
