Age,M,F
0-4,879183,826697
5-9,905996,852386
10-14,923061,868972
15-19,933181,880699
20-24,943616,895252
25-29,963861,919829
30-34,997608,956202
35-39,1045473,1004652
40-44,1101265,1059948
45-49,1137696,1096975
50-54,1130798,1093942
55-59,1097907,1067924
60-64,1074811,1053703
65-69,1085194,1075751
70-74,1125230,1135529
75-79,1126283,1171621
80-84,1117172,1232390
85-89,858828,1053189
90-94,507739,746765
95-99,231511,473409
100+,72617,257505
