Age,M,F
0-4,865247,813590
5-9,889195,836450
10-14,911734,858039
15-19,931072,878257
20-24,949248,899968
25-29,964841,919986
30-34,984904,943149
35-39,1016823,976417
40-44,1062831,1022288
45-49,1113714,1072826
50-54,1139484,1100361
55-59,1121538,1088280
60-64,1084093,1060160
65-69,1061333,1049779
70-74,1069006,1075974
75-79,1088039,1127803
80-84,1043512,1141504
85-89,932694,1131247
90-94,576138,840931
95-99,245072,486876
100+,77111,264479
